Country,Amount
Eritrea,15
Pakistan,39
Haiti,53
Sudan,115
Honduras,195
Iraq,226
Ecuador,361
Bulgaria,516
Libya,578
Mexico,618
South Africa,645
Poland,854
Chile,1103
U.A.E.,1343
Greece,2044
Israel,2289
U.K.,3647
Germany,4683
France,4690
Japan,4752
Canada,5741
United States,8895
Norway,9055
